Namespace(exp_name='new_lrgm', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=8, epochs=250, use_sgd=True, lr=0.0001, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 162, loss: 0.843000, train acc: 0.977033, train avg acc: 0.965341
Test 162, loss: 0.937862, test acc: 0.920178, test avg acc: 0.889785
Train 163, loss: 0.842489, train acc: 0.977642, train avg acc: 0.967248
Test 163, loss: 0.936378, test acc: 0.923015, test avg acc: 0.892413
Train 164, loss: 0.845665, train acc: 0.976016, train avg acc: 0.965549
Test 164, loss: 0.939525, test acc: 0.916126, test avg acc: 0.886081
Train 165, loss: 0.840319, train acc: 0.978862, train avg acc: 0.970326
Test 165, loss: 0.935961, test acc: 0.922609, test avg acc: 0.894122
Train 166, loss: 0.839656, train acc: 0.979878, train avg acc: 0.970908
Test 166, loss: 0.938051, test acc: 0.917747, test avg acc: 0.884163
Train 167, loss: 0.841316, train acc: 0.978557, train avg acc: 0.968845
Test 167, loss: 0.937781, test acc: 0.918963, test avg acc: 0.885953
Train 168, loss: 0.845438, train acc: 0.977033, train avg acc: 0.965541
Test 168, loss: 0.937200, test acc: 0.919773, test avg acc: 0.889413
Train 169, loss: 0.840869, train acc: 0.977744, train avg acc: 0.964062
Test 169, loss: 0.936804, test acc: 0.923825, test avg acc: 0.895791
Train 170, loss: 0.840183, train acc: 0.977541, train avg acc: 0.965835
Test 170, loss: 0.935264, test acc: 0.919368, test avg acc: 0.886122
Train 171, loss: 0.842682, train acc: 0.977642, train avg acc: 0.967641
Test 171, loss: 0.943065, test acc: 0.919368, test avg acc: 0.886163
Train 172, loss: 0.839845, train acc: 0.979878, train avg acc: 0.970663
Test 172, loss: 0.937505, test acc: 0.923825, test avg acc: 0.893872
Train 173, loss: 0.840083, train acc: 0.979065, train avg acc: 0.968048
Test 173, loss: 0.933274, test acc: 0.925851, test avg acc: 0.893163
Train 174, loss: 0.842866, train acc: 0.977439, train avg acc: 0.967707
Test 174, loss: 0.940631, test acc: 0.919773, test avg acc: 0.889576
Train 175, loss: 0.842853, train acc: 0.978150, train avg acc: 0.968079
Test 175, loss: 0.936534, test acc: 0.919368, test avg acc: 0.890244
Train 176, loss: 0.839764, train acc: 0.978760, train avg acc: 0.967865
Test 176, loss: 0.933622, test acc: 0.920178, test avg acc: 0.888663
Train 177, loss: 0.841615, train acc: 0.976321, train avg acc: 0.964590
Test 177, loss: 0.935389, test acc: 0.918152, test avg acc: 0.887331
Train 178, loss: 0.843890, train acc: 0.978049, train avg acc: 0.967303
Test 178, loss: 0.934321, test acc: 0.923015, test avg acc: 0.891535
